post_id,title,category,score,num_comments,author,collected_at
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,124,42,speckx,2026-04-10 08:41:03
47709158,Charcuterie – Visual similarity Unicode explorer,technology,145,24,rickcarlino,2026-04-10 08:41:05
47706141,Research-Driven Agents: When an agent reads before it codes,technology,142,46,hopechong,2026-04-10 08:41:11
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,305,207,kisamoto,2026-04-10 08:41:17
47710782,The Training Example Lie Bracket,technology,18,10,pb1729,2026-04-10 08:41:20
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,128,15,juretriglav,2026-04-10 08:41:21
47695666,Show HN: Druids – Build your own software factory,technology,27,5,etherio,2026-04-10 08:41:23
47707632,"Instant 1.0, a backend for AI-coded apps",technology,104,64,stopachka,2026-04-10 08:41:27
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,142,94,SirHound,2026-04-10 08:41:29
47712771,"Google's AI Overviews spew false answers per hour, bombshell study reveals",technology,6,0,1vuio0pswjnm7,2026-04-10 08:41:31
47708817,Maine is about to become the first state to ban major new data centers,technology,257,363,rmason,2026-04-10 08:41:34
47711960,Vibe-Coded Ext4 for OpenBSD,technology,6,4,signa11,2026-04-10 08:41:35
47687273,Git commands I run before reading any code,technology,2219,471,grepsedawk,2026-04-10 08:41:42
47701233,Claude mixes up who said what,technology,414,325,sixhobbits,2026-04-10 08:41:44
47708411,Bitmap fonts make computers feel like computers again,technology,86,68,speckx,2026-04-10 08:41:45
47660434,C# in Unity 2026: Writing more modern code,technology,70,93,hacker_13,2026-04-10 08:41:47
47712755,"Detox may erase 10 years of social media brain damage, researchers say",technology,5,2,1vuio0pswjnm7,2026-04-10 08:41:49
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,255,102,akshay2603,2026-04-10 08:41:52
47710919,How the Trivy supply chain attack harvested credentials from secrets managers,technology,14,13,Rial_Labs,2026-04-10 08:41:55
47709197,US defense official overseeing AI reaped millions selling xAI stock,technology,39,5,malshe,2026-04-10 08:42:00
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,397,47,WerWolv,2026-04-10 08:42:03
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,technology,184,220,speckx,2026-04-10 08:42:14
47689237,US cities are axing Flock Safety surveillance technology,technology,744,422,giuliomagnifico,2026-04-10 08:42:15
47696035,John Deere to pay $99M in right-to-repair settlement,technology,378,124,CharlesW,2026-04-10 08:42:18
47679121,Project Glasswing: Securing critical software for the AI era,technology,1510,824,Ryan5453,2026-04-10 08:42:19
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,19,6,testing22321,2026-04-10 08:43:12
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,387,367,chabons,2026-04-10 08:43:48
47712641,White House Warns Staff Not to Place Bets on Prediction Markets Amid Iran War,worldnews,6,3,bookofjoe,2026-04-10 08:43:54
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,614,261,zixuanlimit,2026-04-10 08:44:13
47710608,FCC considers retroactive ban on foreign hardware,worldnews,6,3,topspin,2026-04-10 08:44:23
47680124,IPv6 is the only way forward,worldnews,102,318,quaintdev,2026-04-10 08:44:34
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-10 08:44:44
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,123,19,ductionist,2026-04-10 08:44:58
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-10 08:45:34
47710595,The Iran war depleted US weapons. Rebuilding will require China's cooperation,worldnews,9,0,n1b0m,2026-04-10 08:45:49
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,317,90,player_piano,2026-04-10 08:46:06
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,57,18,zdw,2026-04-10 08:46:06
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,32,12,brene,2026-04-10 08:46:51
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-10 08:46:57
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,38,23,beardyw,2026-04-10 08:47:17
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-10 08:48:09
47704700,"'Snoopy', 'Adolf' and 'Password': The Hungarian Government Passwords Exposed",worldnews,14,3,lschueller,2026-04-10 08:48:18
47697980,"Account Verification for Windows Hardware Program Begins October 16, 2025",worldnews,5,0,TiredOfLife,2026-04-10 08:48:35
47663743,"Show HN: Moon simulator game, ray-casting",sports,95,23,JKCalhoun,2026-04-10 08:49:52
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,111,35,pruz,2026-04-10 08:50:44
47710319,BYD teams up with KFC to offer 9 minute EV charging,sports,8,0,breve,2026-04-10 08:50:54
47709535,Lethal conflict after group fission in wild chimpanzees,sports,7,1,impish9208,2026-04-10 08:51:08
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-10 08:51:48
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-10 08:52:11
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,538,163,akyuu,2026-04-10 08:52:23
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-10 08:52:34
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-10 08:54:52
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-10 08:55:21
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,8,10,naorz,2026-04-10 08:55:35
47708818,Native Instant Space Switching on macOS,science,351,174,PaulHoule,2026-04-10 08:55:51
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,18,3,LabsLucas,2026-04-10 08:56:02
47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-10 08:59:27
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 08:59:53
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-10 09:00:04
47709360,CDC study shows Covid shot benefits; Trump official blocks release,science,15,2,ColinWright,2026-04-10 09:00:57
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-10 09:01:54
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,127,113,randerson_112,2026-04-10 09:02:46
